2000	100	0.5727	0.7692	1.0859	1.5534	2.1341	0.851
2000	200	0.7107	0.9545	1.3477	1.9278	2.6484	1.0779
2000	300	0.7004	0.9407	1.3281	1.8946	2.5897	1.0707
2000	400	1.0954	1.4596	2.0469	2.8872	3.917	1.6859
2000	500	1.335	1.7809	2.4766	3.4736	4.6623	2.1772
2000	600	1.2971	1.7217	2.4062	3.375	4.5299	2.1849
2000	700	1.2171	1.6155	2.2578	3.1668	4.2649	2.0831
2000	800	1.2045	1.6068	2.2344	3.1339	4.2063	2.0495
2000	900	1.2171	1.6155	2.2578	3.1578	4.2441	2.0405
2200	100	0.5521	0.7415	1.0469	1.4934	2.0413	0.6904
2200	200	0.6952	0.93	1.3086	1.8615	2.5481	0.8884
2200	300	0.6329	0.8467	1.1914	1.6995	2.3231	0.862
2200	400	0.7865	1.0522	1.4805	2.1001	2.86	1.1209
2200	500	1.0076	1.3495	1.8828	2.6558	3.5791	1.5255
2200	600	1.0486	1.3919	1.9453	2.7285	3.6621	1.677
2200	700	1.0065	1.336	1.8672	2.6189	3.527	1.649
2200	800	0.9909	1.3271	1.8516	2.597	3.4975	1.6429
2200	900	0.9742	1.2981	1.8203	2.5459	3.4217	1.6292
2200	1000	1.0065	1.3427	1.8672	2.6189	3.5151	1.6484
2400	100	0.3327	0.4555	0.6602	0.9733	1.3813	0.398
2400	200	0.4185	0.5707	0.8242	1.2152	1.7246	0.4982
2400	300	0.4637	0.6297	0.9062	1.3217	1.8539	0.5483
2400	400	0.6068	0.8216	1.168	1.6754	2.313	0.7219
2400	500	0.8114	1.0911	1.5273	2.1544	2.9228	1.0335
2400	600	0.924	1.2375	1.7266	2.4217	3.2724	1.2674
2400	700	0.9391	1.2528	1.7422	2.4505	3.2958	1.3275
2400	800	0.9073	1.2151	1.6953	2.3778	3.1915	1.3343
2400	900	0.8905	1.1927	1.6641	2.334	3.1327	1.3475
2400	1000	0.9097	1.2135	1.6875	2.3669	3.1768	1.3594
2400	1100	0.8989	1.2039	1.6797	2.3492	3.1574	1.3284
2600	100	0.2666	0.3666	0.5332	0.7882	1.1235	0.3207
2600	200	0.3218	0.4406	0.6387	0.9467	1.3511	0.3882
2600	300	0.3307	0.4528	0.6562	0.9728	1.3843	0.4003
2600	400	0.374	0.5121	0.7422	1.0913	1.5511	0.448
2600	500	0.5217	0.7093	1.0117	1.4674	2.0394	0.6161
2600	600	0.6633	0.8909	1.2578	1.7893	2.4492	0.8066
2600	700	0.7056	0.9488	1.3281	1.884	2.5489	0.8914
2600	800	0.6993	0.9404	1.3164	1.8674	2.5264	0.9155
2600	900	0.7159	0.9627	1.3477	1.9117	2.5864	0.9619
2600	1000	0.7222	0.9661	1.3594	1.9175	2.6014	0.9758
2600	1100	0.7201	0.9683	1.3555	1.912	2.5939	0.9792
2600	1200	0.7056	0.9488	1.3281	1.8734	2.5416	0.969
2600	1250	0.6952	0.9348	1.3086	1.8459	2.4959	0.9455
2800	100	0.2866	0.393	0.5645	0.8277	1.1714	0.3267
2800	200	0.3154	0.43	0.6211	0.9108	1.2851	0.36
2800	300	0.3392	0.4625	0.668	0.9795	1.3862	0.3918
2800	400	0.3342	0.4557	0.6582	0.9704	1.3732	0.3921
2800	500	0.3908	0.5328	0.7695	1.1253	1.5856	0.4625
2800	600	0.4874	0.6627	0.9453	1.3636	1.8889	0.5885
2800	700	0.5438	0.7304	1.0312	1.4711	2.0173	0.675
2800	800	0.5644	0.7581	1.0703	1.5183	2.0812	0.7327
2800	900	0.5562	0.747	1.0547	1.4961	2.0509	0.7427
2800	1000	0.5706	0.7704	1.082	1.5349	2.0972	0.7719
2800	1100	0.5873	0.7856	1.1055	1.5681	2.1356	0.7997
2800	1200	0.5873	0.7856	1.1055	1.5681	2.1356	0.8001
2800	1300	0.5956	0.8009	1.1211	1.5903	2.1658	0.8096
2800	1350	0.5811	0.7813	1.0938	1.5515	2.0991	0.8113
3000	100	0.2288	0.3173	0.4648	0.6983	1.0084	0.2961
