1800	500	1.175	1.5614	2.1641	3.018	4.02	2.2297
1800	600	1.0739	1.4398	1.9922	2.7783	3.7135	1.9363
1800	700	1.0308	1.3697	1.8984	2.6476	3.5388	1.818
1800	800	1.0402	1.3877	1.9297	2.6835	3.5667	1.8174
2000	100	0.3766	0.5065	0.709	1.0057	1.3696	0.4589
2000	200	0.4565	0.6139	0.8594	1.2191	1.6547	0.5542
2000	300	0.4586	0.6167	0.8633	1.2246	1.6568	0.5581
2000	400	0.717	0.9603	1.3398	1.8793	2.5309	0.8702
2000	500	0.8928	1.191	1.6562	2.3098	3.0873	1.0579
2000	600	0.8718	1.1571	1.6172	2.2554	3.0145	0.9838
2000	700	0.8233	1.0983	1.5273	2.1361	2.871	0.9578
2000	800	0.817	1.0899	1.5156	2.1198	2.849	0.9815
2000	900	0.8254	1.1011	1.5312	2.1355	2.8543	1.0233
2200	100	0.3663	0.4925	0.6895	0.9725	1.3194	0.4277
2200	200	0.4545	0.6111	0.8555	1.2067	1.6371	0.5178
2200	300	0.4233	0.5693	0.7969	1.124	1.5249	0.4753
2200	400	0.5188	0.6976	0.9766	1.3775	1.8626	0.5416
2200	500	0.671	0.8987	1.2539	1.7587	2.3605	0.6607
2200	600	0.7054	0.941	1.3086	1.8354	2.4551	0.6665
2200	700	0.6801	0.9073	1.2617	1.7697	2.3752	0.6553
2200	800	0.6759	0.8972	1.2539	1.7487	2.3535	0.6621
2200	900	0.6717	0.8961	1.2461	1.7378	2.3388	0.6879
2200	1000	0.6865	0.9157	1.2734	1.776	2.3738	0.7204
2400	100	0.2202	0.2981	0.4238	0.613	0.8533	0.3207
2400	200	0.2801	0.3792	0.5391	0.7776	1.0771	0.3943
2400	300	0.3067	0.4136	0.5859	0.8405	1.1604	0.4061
2400	400	0.4007	0.5381	0.7598	1.0778	1.4678	0.4626
2400	500	0.5496	0.7295	1.0195	1.434	1.9352	0.5498
2400	600	0.6317	0.8427	1.1719	1.639	2.2028	0.591
2400	700	0.6401	0.854	1.1875	1.6608	2.2246	0.5896
2400	800	0.6254	0.8343	1.1602	1.6226	2.1808	0.5884
2400	900	0.617	0.8231	1.1445	1.5962	2.1408	0.5942
2400	1000	0.6254	0.8343	1.1602	1.618	2.1775	0.6065
2400	1100	0.6233	0.8315	1.1562	1.6125	2.1553	0.6336
2600	100	0.1833	0.2492	0.3555	0.5156	0.7165	0.2751
2600	200	0.2195	0.2985	0.4258	0.6159	0.8572	0.3292
2600	300	0.2266	0.3064	0.4395	0.6339	0.8836	0.3308
2600	400	0.2567	0.3458	0.4941	0.7128	0.9874	0.355
2600	500	0.3486	0.4726	0.666	0.9527	1.3088	0.44
2600	600	0.4578	0.6131	0.8555	1.2101	1.6394	0.5191
2600	700	0.485	0.6495	0.9062	1.2783	1.7227	0.5474
2600	800	0.485	0.6463	0.9062	1.2711	1.7177	0.5421
2600	900	0.4954	0.6635	0.9258	1.3022	1.7573	0.5631
2600	1000	0.4996	0.6657	0.9336	1.3094	1.7635	0.5596
2600	1100	0.5038	0.6747	0.9414	1.3204	1.7843	0.5649
2600	1200	0.4975	0.6663	0.9297	1.304	1.7502	0.5698
2600	1250	0.4871	0.6523	0.9102	1.2766	1.7134	0.562
2800	100	0.1963	0.2647	0.375	0.5394	0.746	0.2612
2800	200	0.2161	0.2927	0.416	0.5968	0.8239	0.2891
2800	300	0.2334	0.316	0.4492	0.6462	0.8964	0.3161
2800	400	0.2324	0.3146	0.4473	0.6452	0.8937	0.315
2800	500	0.2679	0.3627	0.5156	0.7397	1.0211	0.3576
2800	600	0.3347	0.4496	0.6348	0.9055	1.2377	0.4281
