2000	200	0.4794	0.6413	0.9023	1.2692	1.7243	0.5013
2000	300	0.4871	0.6523	0.9102	1.2838	1.7417	0.5195
2000	400	0.8132	1.0891	1.5195	2.1313	2.88	0.927
2000	500	1.4445	1.927	2.6797	3.7371	5.0123	1.8283
2000	600	2.1984	2.9326	4.0781	5.6712	7.5902	2.8654
2000	700	2.6894	3.5737	4.9531	6.9077	9.1692	3.4998
2000	800	2.7344	3.6194	5.0	6.9332	9.2272	3.6034
2000	900	2.3499	3.1104	4.2969	5.9582	7.9018	3.1281
2200	100	0.3888	0.5208	0.7266	1.0249	1.3811	0.3572
2200	200	0.4787	0.6411	0.8945	1.2618	1.7004	0.444
2200	300	0.4453	0.5963	0.832	1.1736	1.5816	0.4287
2200	400	0.5602	0.7465	1.0469	1.4725	1.9871	0.5565
2200	500	0.8549	1.1405	1.5859	2.2371	3.0147	0.8962
2200	600	1.2761	1.7023	2.3672	3.3202	4.4866	1.3817
2200	700	1.693	2.2585	3.1406	4.405	5.9124	1.8743
2200	800	1.9709	2.6293	3.6562	5.0991	6.8154	2.217
2200	900	1.9258	2.5591	3.5469	4.9465	6.6116	2.2727
2200	1000	1.6501	2.1927	3.0391	4.2383	5.6454	1.9251
2400	100	0.2385	0.3229	0.459	0.6621	0.9171	0.2589
2400	200	0.3024	0.4094	0.582	0.8396	1.163	0.3219
2400	300	0.3333	0.4494	0.6367	0.9134	1.253	0.337
2400	400	0.4399	0.5885	0.8281	1.1747	1.5998	0.4124
2400	500	0.6313	0.8455	1.1797	1.6546	2.2359	0.5807
2400	600	0.9055	1.2079	1.6797	2.3693	3.193	0.8548
2400	700	1.2087	1.6124	2.2422	3.1449	4.2497	1.1634
2400	800	1.4193	1.8933	2.6328	3.6928	4.9564	1.4012
2400	900	1.5245	2.0338	2.8281	3.9554	5.3161	1.5488
2400	1000	1.4445	1.927	2.6797	3.7371	5.0295	1.4979
2400	1100	1.2297	1.6405	2.2812	3.1906	4.2735	1.2807
2600	100	0.1939	0.2636	0.376	0.5423	0.7513	0.2216
2600	200	0.2334	0.316	0.4492	0.648	0.9032	0.2666
2600	300	0.2407	0.3272	0.4668	0.6715	0.9315	0.272
2600	400	0.275	0.3723	0.5293	0.7635	1.0576	0.2995
2600	500	0.3956	0.5335	0.7559	1.0813	1.4854	0.3974
2600	600	0.6143	0.8217	1.1562	1.6402	2.2337	0.5689
2600	700	0.8384	1.1273	1.5781	2.226	3.02	0.7736
2600	800	1.0452	1.3999	1.9531	2.755	3.7127	0.9517
2600	900	1.2087	1.6124	2.2422	3.1449	4.2497	1.1203
2600	1000	1.1918	1.5899	2.2109	3.101	4.1622	1.1126
